distance_km,shipment_weight_kg,planned_delivery_hrs,is_weekend_dispatch,month_sin,month_cos,delay_hrs,transport_mode_Rail,transport_mode_Road,transport_mode_Sea
1947.3,1003.3,42.0,0,0.49999999999999994,0.8660254037844387,7.31,True,False,False
3092.5,1332.7,127.5,0,0.49999999999999994,0.8660254037844387,10.18,False,False,True
1223.0,331.7,33.8,0,0.49999999999999994,0.8660254037844387,6.95,False,True,False
556.0,287.7,4.5,0,0.49999999999999994,0.8660254037844387,4.33,False,False,False
2183.5,312.6,54.7,0,0.49999999999999994,0.8660254037844387,12.29,False,True,False
943.0,823.4,28.4,0,0.49999999999999994,0.8660254037844387,7.6,False,True,False
2760.9,92.1,115.0,0,0.49999999999999994,0.8660254037844387,10.14,False,False,True
1145.3,615.4,8.0,1,0.49999999999999994,0.8660254037844387,8.03,False,False,False
1712.5,1476.7,40.3,1,0.49999999999999994,0.8660254037844387,14.72,False,True,False
1665.9,578.8,40.2,1,0.49999999999999994,0.8660254037844387,18.91,False,True,False
855.4,1092.7,26.7,1,0.49999999999999994,0.8660254037844387,10.85,False,True,False
2195.4,2267.7,55.7,1,0.49999999999999994,0.8660254037844387,17.89,False,True,False
337.4,509.9,12.5,1,0.49999999999999994,0.8660254037844387,4.35,False,True,False
1508.6,2099.8,33.0,0,0.49999999999999994,0.8660254037844387,10.81,True,False,False
376.7,639.8,14.6,0,0.49999999999999994,0.8660254037844387,2.92,False,True,False
662.4,533.0,17.1,0,0.49999999999999994,0.8660254037844387,2.01,False,True,False
992.9,786.9,29.6,0,0.49999999999999994,0.8660254037844387,7.88,False,True,False
2184.7,1001.1,52.2,0,0.49999999999999994,0.8660254037844387,7.85,False,True,False
3309.9,361.7,137.6,0,0.49999999999999994,0.8660254037844387,18.67,False,False,True
2317.5,489.3,11.0,0,0.49999999999999994,0.8660254037844387,9.72,False,False,False
246.8,1169.7,8.0,0,0.49999999999999994,0.8660254037844387,3.04,False,True,False
631.2,1380.1,18.0,0,0.49999999999999994,0.8660254037844387,1.85,False,True,False
1152.5,462.0,32.6,0,0.49999999999999994,0.8660254037844387,3.59,False,True,False
